query,result_size,documents
Edward Babiuch is politician of  People's Republic of Poland,5,"<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Donald_Tusk"">&#57344;Donald Tusk&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
Family and education. Tusk was born in Gda&#324;sk in northern &#57344;Poland&#57345;. He has German and Kashubian ancestry. His father, also named &#57344;Donald Tusk&#57345; (1930&ndash;1972), was a carpenter, and his mother, Ewa (n&eacute;e Dawidowska) Tusk (1934&ndash;2009), was a nurse.
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Donald_Tusk"">https://en.wikipedia.org/wiki/Donald_Tusk</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Józef_Piłsudski"">J&oacute;zef Pi&#322;sudski - Wikipedia</a></b>
  <br/>
of the Second &#57344;Republic&#57345; &#57344;of Poland&#57345;; ... &#57344;Edward&#57345; Rydz-&#346;mig&#322;y was named by &#57344;Poland&#57345;'s president and government to be ... the policies of the Polish &#57344;People's&#57345; &#57344;Republic&#57345;, ...
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Józef_Piłsudski"">https://en.wikipedia.org/wiki/Józef_Piłsudski</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Edward_Gierek"">&#57344;Edward Gierek&#57345; - Wikipedia</a></b>
  <br/>
&#57344;Edward Gierek&#57345; (Polish pronunciation: [&#712;&#603;dvart &#712;&#609;&#690;&#603;r&#603;k]; 6 January 1913 &ndash; 29 July 2001) was a Polish communist &#57344;politician&#57345;.Gierek replaced W&#322;adys&#322;aw Gomu&#322;ka as first secretary of the ruling Polish United Workers' Party (PZPR) in the Polish &#57344;People's&#57345; &#57344;Republic&#57345; in 1970.
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Edward_Gierek"">https://en.wikipedia.org/wiki/Edward_Gierek</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Wojciech_Jaruzelski"">&#57344;Wojciech Jaruzelski&#57345; - Wikipedia</a></b>
  <br/>
... was a Polish military officer and &#57344;politician&#57345;. ... and as such was the last leader of the &#57344;People's&#57345; &#57344;Republic&#57345; &#57344;of Poland&#57345;. ... &#57344;Edward&#57345; &#57344;Babiuch&#57345; J&oacute;zef Pi&#324;kowski himself:
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Wojciech_Jaruzelski"">https://en.wikipedia.org/wiki/Wojciech_Jaruzelski</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.baylor.edu/content/services/document.php/49952"">BOOK REVIEWS BY TITLE - &#57344;baylor.edu&#57345;</a></b>
  <br/>
Catholic Church and Antisemitism &#57344;Poland&#57345;, 1933-1939, The, ... Christianity in the &#57344;People&rsquo;s&#57345; &#57344;Republic&#57345; of China, by G. Thompson Brown, 30: ... Divine &#57344;Politician&#57345;, ...
  <br/>
  <b><a href=""https://www.baylor.edu/content/services/document.php/49952"">https://www.baylor.edu/content/services/document.php/49952</a></b>
  </p>
</div>
"
Christine Boutin is politician of  France,3,"<div>
<p>
  <b><a href=""https://rankly.com/list/best-french-politics-off-all-time"">&#57344;Best French Politics of All Time&#57345; | Rankly</a></b>
  <br/>
More about &#57344;Best French Politics of All Time&#57345;: &#57344;Best French Politics of All Time&#57345; is a public top list created by Listnerd on Rankly.com on November 27th 2012.
  <br/>
  <b><a href=""https://rankly.com/list/best-french-politics-off-all-time"">https://rankly.com/list/best-french-politics-off-all-time</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""wikivisually.com/lang-fr/wiki/Gérard_Larcher"">G&eacute;rard Larcher - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""wikivisually.com/lang-fr/wiki/Gérard_Larcher"">wikivisually.com/lang-fr/wiki/Gérard_Larcher</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""fracademic.com/dic.nsf/frwiki/1422955"">Renaud Donnedieu de Vabres - fracademic.com</a></b>
  <br/>
Pour les articles homonymes, voir Donnedieu de Vabres. Renaud Donnedieu de Vabres Renaud Donnedieu de Vabres
  <br/>
  <b><a href=""fracademic.com/dic.nsf/frwiki/1422955"">fracademic.com/dic.nsf/frwiki/1422955</a></b>
  </p>
</div>
"
Sarah Churchill is politician of  United Kingdom,4,"<div>
<p>
  <b><a href=""https://www.revolvy.com/main/index.php?s=William Russell, 1st Duke..."">&#57344;William Russell, 1st Duke of Bedford&#57345; | Revolvy</a></b>
  <br/>
&#57344;William Russell, 1st Duke of Bedford&#57345; &#57344;William Russell, 1st Duke of Bedford&#57345; KG PC (August 1616 \u2013 7 September 1700) was an English nobleman and &#57344;politician&#57345; who sat in the House of Commons from 1640 until 1641 when he inherited his Peerage as 5th Earl of Bedford and removed to the House of Lords . He fought in the Parliamentarian army and later defected to the Royalists during the English ..
  <br/>
  <b><a href=""https://www.revolvy.com/main/index.php?s=William Russell, 1st Duke..."">https://www.revolvy.com/main/index.php?s=William Russell, 1st Duke...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://wikivisually.com/wiki/Solomon_P._Sharp"">&#57344;Solomon P. Sharp&#57345; - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""https://wikivisually.com/wiki/Solomon_P._Sharp"">https://wikivisually.com/wiki/Solomon_P._Sharp</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://wikivisually.com/wiki/Portal:Politics/Featured_content"">&#57344;Portal:Politics/Featured content&#57345; - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""https://wikivisually.com/wiki/Portal:Politics/Featured_content"">https://wikivisually.com/wiki/Portal:Politics/Featured_content</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Strathearn (disambiguation)"">Strathearn (disambiguation) - revolvy.com</a></b>
  <br/>
Strathearn is a place in Scotland. The title Duke of Strathearn has never existed, but there have been three dukedoms with &quot;Strathearn&quot; in the title: Duke of Cumberland and Strathearn Duke of Kent and Strathearn Duke of Connaught and Strathearn Strathearn is a region along the river Tay in Scotland ...
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Strathearn (disambiguation)"">https://www.revolvy.com/topic/Strathearn (disambiguation)</a></b>
  </p>
</div>
"
Joseph B. Ely is politician of  Massachusetts,3,"<div>
<p>
  <b><a href=""www.revolvy.com/main/index.php?s=Joseph B. Ely"">&#57344;Joseph B. Ely&#57345; - Revolvy</a></b>
  <br/>
&#57344;Joseph&#57345; Buell &#57344;Ely&#57345; (February 22, 1881 &ndash; June 13, 1956) was an American lawyer and Democratic &#57344;politician&#57345; from &#57344;Massachusetts&#57345; . As a conservative Democrat, &#57344;Ely&#57345; was active in party politics from the late 1910s, helping to build, in conjunction with David I. Walsh , the Democratic coalition that would gain an enduring political ascendancy in the state.
  <br/>
  <b><a href=""www.revolvy.com/main/index.php?s=Joseph B. Ely"">www.revolvy.com/main/index.php?s=Joseph B. Ely</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""www.archive.org/stream/menofnewyorkcoll03matt/menofnewyorkcoll03..."">Full text of &quot;The men &#57344;of New York: a collection of&#57345; ...</a></b>
  <br/>
Full text of &quot;The men &#57344;of New York: a collection of&#57345; biographies and portraits of citizens of the Empire state prominent in business, professional, social, and political life during the last decade of the nineteenth century ..
  <br/>
  <b><a href=""www.archive.org/stream/menofnewyorkcoll03matt/menofnewyorkcoll03..."">www.archive.org/stream/menofnewyorkcoll03matt/menofnewyorkcoll03...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://archive.org/stream/biographicalsket00murp_0/biographicalsk..."">&#57344;See other formats&#57345; - Internet Archive</a></b>
  <br/>
Full text of &quot;Biographical sketches of the state officers and members of the legislature of the state of New York in 1862 and '63&quot; &#57344;See other formats&#57345;
  <br/>
  <b><a href=""https://archive.org/stream/biographicalsket00murp_0/biographicalsk..."">https://archive.org/stream/biographicalsket00murp_0/biographicalsk...</a></b>
  </p>
</div>
"
Roland Evelyn Turnbull is politician of  North Borneo,2,"<div>
<p>
  <b><a href=""https://www.revolvy.com/main/index.php?s=Turnbull government&item..."">&#57344;Turnbull&#57345; Government - revolvy.com</a></b>
  <br/>
The &#57344;Turnbull&#57345; Government is the federal executive government of Australia, led by the 29th Prime Minister of Australia, Malcolm &#57344;Turnbull&#57345;. The government is made of members of the Liberal-National Coalition.
  <br/>
  <b><a href=""https://www.revolvy.com/main/index.php?s=Turnbull government&item..."">https://www.revolvy.com/main/index.php?s=Turnbull government&item...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Turnbull Government"">&#57344;Turnbull Government&#57345; - Revolvy</a></b>
  <br/>
The &#57344;Turnbull Government&#57345; is the federal executive government of Australia, led by the 29th Prime Minister of Australia , Malcolm &#57344;Turnbull&#57345; . The government is made of members of the Liberal-National Coalition .
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Turnbull Government"">https://www.revolvy.com/topic/Turnbull Government</a></b>
  </p>
</div>
"
Kim Jong-pil is politician of  South Korea,5,"<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Ban_Ki-moon"">&#57344;Ban Ki-moon&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
&#57344;Ban Ki-moon&#57345;: &#57344;South&#57345; Korean ... &#57344;Kim&#57345; &#57344;Jong-pil&#57345;, former Prime Minister &#57344;of South&#57345; &#57344;Korea&#57345;, was reported to say that &#57344;Ban Ki-moon&#57345; would announce his candidacy for the ...
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Ban_Ki-moon"">https://en.wikipedia.org/wiki/Ban_Ki-moon</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Park_Chung-hee"">&#57344;Park Chung-hee&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
&#57344;Kim&#57345; &#57344;Jong-pil&#57345; Choi Kyu-hah: ... 26 October 1979) was a &#57344;South&#57345; Korean &#57344;politician&#57345;, ... &#57344;Korea&#57345;'s Development Under &#57344;Park Chung Hee&#57345; (annotated ed.).
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Park_Chung-hee"">https://en.wikipedia.org/wiki/Park_Chung-hee</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Foreign_relations_of_India"">&#57344;Foreign relations of India&#57345; - Wikipedia</a></b>
  <br/>
&#57344;Foreign relations of India&#57345;. ... Prime Minister &#57344;Jong Pil&#57345; &#57344;Kim&#57345;. ... Much of the economic investments &#57344;of South&#57345; &#57344;Korea&#57345; have been drained into China; ...
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Foreign_relations_of_India"">https://en.wikipedia.org/wiki/Foreign_relations_of_India</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.britannica.com/biography/Kim-Dae-Jung"">&#57344;Kim Dae-Jung&#57345; | Biography, Achievements, &amp; Nobel Prize ...</a></b>
  <br/>
&#57344;Kim Dae-Jung&#57345;: &#57344;South&#57345; Korean &#57344;politician&#57345; &#57344;Kim Dae-Jung&#57345; was the ... Japan and &#57344;South&#57345; &#57344;Korea&#57345;. In 1976 &#57344;Kim&#57345; was ... Liberal Democrats led by &#57344;Kim&#57345; &#57344;Jong-Pil&#57345;, ...
  <br/>
  <b><a href=""https://www.britannica.com/biography/Kim-Dae-Jung"">https://www.britannica.com/biography/Kim-Dae-Jung</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.imdb.com/title/tt6333380"">Seom. Sa-ra-jin sa-ram-deul (2016) - IMDb</a></b>
  <br/>
A former political henchman seeks out revenge for being dropped by a ruthless &#57344;politician&#57345; while ... North &#57344;Korea&#57345;,for the rehearsal of the &#57344;South&#57345; ... &#57344;Jong-pil&#57345; Lee . Stars ...
  <br/>
  <b><a href=""https://www.imdb.com/title/tt6333380"">https://www.imdb.com/title/tt6333380</a></b>
  </p>
</div>
"
Lindsay Tanner is politician of  Australia,5,"<div>
<p>
  <b><a href=""loonpond.blogspot.com/2011/06"">&#57344;loon pond&#57345;: June 2011</a></b>
  <br/>
Subscribe to &#57344;loon pond&#57345; by Email. rss rss. Simple theme. Powered by Blogger. ...
  <br/>
  <b><a href=""loonpond.blogspot.com/2011/06"">loonpond.blogspot.com/2011/06</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""jonjayray.com/pcwfeb09.html"">&#57344;Political Correctness&#57345; Watch - jonjayray.com</a></b>
  <br/>
&#57344;Political correctness&#57345; is most pervasive in universities and colleges but I rarely report the incidents concerned here as I have a separate blog for educational ...
  <br/>
  <b><a href=""jonjayray.com/pcwfeb09.html"">jonjayray.com/pcwfeb09.html</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""aunews.indywatch.org/archiver/aunews.indywatch.org/resources/time..."">IndyWatch Feed Index - aunews.indywatch.org</a></b>
  <br/>
Eds. Note: Please scroll to the bottom of this post to see links to discussions of A Birthday Cake for George Washington. The links are in two sets.
  <br/>
  <b><a href=""aunews.indywatch.org/archiver/aunews.indywatch.org/resources/time..."">aunews.indywatch.org/archiver/aunews.indywatch.org/resources/time...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""catallaxyfiles.com/.../22/is-the-end-nigh-the-new-political-paradigm"">Is the end &#57344;nigh? The new political paradigm&#57345;. | Catallaxy Files</a></b>
  <br/>
39 Responses to Is the end &#57344;nigh? The new political paradigm&#57345;. Winston Smith #1923486, posted on January 22, 2016 at 10:48 am. Nicely put, Spartacus.
  <br/>
  <b><a href=""catallaxyfiles.com/.../22/is-the-end-nigh-the-new-political-paradigm"">catallaxyfiles.com/.../22/is-the-end-nigh-the-new-political-paradigm</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""wire.indywatch.org/.../resources/timemachine/2016/023/allaunews.html"">IndyWatch Feed &#57344;Allaunews&#57345;</a></b>
  <br/>
Tasmania has seen some big environmental contests down the years. Lake Pedder, the Franklin dam, Farmhouse Creek, Wesley Vale, the Bell Bay pulp mirage, Ralphs Bay.
  <br/>
  <b><a href=""wire.indywatch.org/.../resources/timemachine/2016/023/allaunews.html"">wire.indywatch.org/.../resources/timemachine/2016/023/allaunews.html</a></b>
  </p>
</div>
"
Yisrael Kessar is politician of  Israel,1,"<div>
<p>
  <b><a href=""apps.evemilano.com/entities/?query=meir+amit"">&#57344;Meir Amit&#57345; and 80 related entities | Entities Finder</a></b>
  <br/>
Info about &#57344;Meir Amit&#57345;. Use EVE Entities Finder to find relationships between entities, things, concepts and people. Try it now, it is free!
  <br/>
  <b><a href=""apps.evemilano.com/entities/?query=meir+amit"">apps.evemilano.com/entities/?query=meir+amit</a></b>
  </p>
</div>
"
Herman Ekern is politician of  Wisconsin,1,"<div>
<p>
  <b><a href=""https://wikivisually.com/wiki/Victor_A._Miller"">&#57344;Victor A. Miller&#57345; - WikiVisually</a></b>
  <br/>
Henry Kleist, &#57344;politician&#57345; &#57344;Victor A. Miller&#57345;, Attorney General &#57344;of Wisconsin&#57345;, was born in Eaton 2. Democratic Party &#57344;of Wisconsin&#57345; &ndash; The Democratic Party &#57344;of Wisconsin&#57345; is the affiliate of the Democratic Party in the state &#57344;of Wisconsin&#57345;. It is currently headed by party chair Martha Laning. The Democratic Party dominated politics until the late 1850s, followed by the newly founded Republican Par
  <br/>
  <b><a href=""https://wikivisually.com/wiki/Victor_A._Miller"">https://wikivisually.com/wiki/Victor_A._Miller</a></b>
  </p>
</div>
"
Lee Hoi-chang is politician of  South Korea,5,"<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Roh_Moo-hyun"">&#57344;Roh Moo-hyun&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
... was a &#57344;South&#57345; Korean &#57344;politician&#57345; who served as President &#57344;of South&#57345; ... the &#57344;Lee&#57345; &#57344;Hoi-chang&#57345;, ... cable to &#57344;South&#57345; &#57344;Korea&#57345; revealed that &#57344;Roh Moo-hyun&#57345; expressed ...
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Roh_Moo-hyun"">https://en.wikipedia.org/wiki/Roh_Moo-hyun</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Park_Geun-hye"">&#57344;Park Geun-hye&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
President &#57344;of South&#57345; &#57344;Korea&#57345;; ... is a former &#57344;South&#57345; Korean &#57344;politician&#57345; who served as the 11th President &#57344;of South&#57345; &#57344;Korea&#57345; from 2013 to 2017. ... &#57344;Lee&#57345; &#57344;Hoi-chang&#57345; ...
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Park_Geun-hye"">https://en.wikipedia.org/wiki/Park_Geun-hye</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.britannica.com/biography/Kim-Dae-Jung"">&#57344;Kim Dae-Jung&#57345; | Biography, Achievements, &amp; Nobel Prize ...</a></b>
  <br/>
&#57344;Kim Dae-Jung&#57345;: &#57344;South&#57345; Korean &#57344;politician&#57345; &#57344;Kim Dae-Jung&#57345; was the first ... &#57344;Lee&#57345; &#57344;Hoi-Chang&#57345;. &#57344;Kim Dae Jung&#57345;, 2000. ... &#57344;Kim Dae-Jung&#57345; visited North &#57344;Korea&#57345; in June 2000&mdash;the first ...
  <br/>
  <b><a href=""https://www.britannica.com/biography/Kim-Dae-Jung"">https://www.britannica.com/biography/Kim-Dae-Jung</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.britannica.com/biography/Roh-Moo-Hyun"">&#57344;Roh Moo-Hyun&#57345; | president &#57344;of South&#57345; &#57344;Korea&#57345; | &#57344;Britannica.com&#57345;</a></b>
  <br/>
&#57344;Roh Moo-Hyun&#57345;: &#57344;Roh Moo-Hyun&#57345;, &#57344;South&#57345; Korean &#57344;politician&#57345; and lawyer, president &#57344;of South&#57345; &#57344;Korea&#57345; from ... In December 2002 Roh defeated &#57344;Lee&#57345; &#57344;Hoi-Chang&#57345; in a tightly ...
  <br/>
  <b><a href=""https://www.britannica.com/biography/Roh-Moo-Hyun"">https://www.britannica.com/biography/Roh-Moo-Hyun</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Liberty_Korea_Party"">&#57344;Liberty Korea Party&#57345; - Wikipedia</a></b>
  <br/>
The &#57344;Liberty Korea Party&#57345; ... Free &#57344;Korea&#57345; Party) is a conservative political party in &#57344;South&#57345; &#57344;Korea&#57345;. ... &#57344;Lee&#57345; &#57344;Hoi-chang&#57345; (&#51060;&#54924;&#52285;)*
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Liberty_Korea_Party"">https://en.wikipedia.org/wiki/Liberty_Korea_Party</a></b>
  </p>
</div>
"
